Ligand,PDB,Error
I0B,8g2i,Size mismatch: SMILES=47 vs 3D=46
I1K,8sih,Size mismatch: SMILES=45 vs 3D=44
KXW,6s79,Size mismatch: SMILES=36 vs 3D=72
KXW,6s79,Size mismatch: SMILES=36 vs 3D=72
KY2,6s7c,Size mismatch: SMILES=31 vs 3D=30
KY2,6s7c,Size mismatch: SMILES=31 vs 3D=30
KY2,6s7c,Size mismatch: SMILES=31 vs 3D=30
KY2,6s7c,Size mismatch: SMILES=31 vs 3D=30
KY8,6s74,Size mismatch: SMILES=33 vs 3D=66
KY8,6s74,Size mismatch: SMILES=33 vs 3D=66
KYB,6s70,Size mismatch: SMILES=33 vs 3D=32
KYB,6s70,Size mismatch: SMILES=33 vs 3D=32
KYB,6s70,Size mismatch: SMILES=33 vs 3D=32
KYB,6s70,Size mismatch: SMILES=33 vs 3D=32
KYE,6s71,Size mismatch: SMILES=36 vs 3D=35
KYE,6s71,Size mismatch: SMILES=36 vs 3D=35
KYE,6s71,Size mismatch: SMILES=36 vs 3D=35
KYE,6s71,Size mismatch: SMILES=36 vs 3D=35
KYH,6s7b,Size mismatch: SMILES=32 vs 3D=31
KYH,6s7b,Size mismatch: SMILES=32 vs 3D=31
KYH,6s7b,Size mismatch: SMILES=32 vs 3D=31
KYH,6s7b,Size mismatch: SMILES=32 vs 3D=31
LHB,5lv2,Size mismatch: SMILES=31 vs 3D=54
LHB,5lv2,Size mismatch: SMILES=31 vs 3D=54
LHB,5lv2,Size mismatch: SMILES=31 vs 3D=54
LHB,5lv2,Size mismatch: SMILES=31 vs 3D=54
LHD,5tbj,Size mismatch: SMILES=32 vs 3D=58
LHD,5tbj,Size mismatch: SMILES=32 vs 3D=58
LHD,5tbj,Size mismatch: SMILES=32 vs 3D=58
LHD,5tbj,Size mismatch: SMILES=32 vs 3D=58
LHF,5lv3,Size mismatch: SMILES=39 vs 3D=66
LHF,5lv3,Size mismatch: SMILES=39 vs 3D=67
LPD,5lgr,Size mismatch: SMILES=8 vs 3D=17
LPD,5lgr,Size mismatch: SMILES=8 vs 3D=17
LPD,5lgr,Size mismatch: SMILES=8 vs 3D=17
LPD,5lgr,Size mismatch: SMILES=8 vs 3D=17
LRZ,7pv6,Size mismatch: SMILES=45 vs 3D=76
LRZ,7pv6,Size mismatch: SMILES=45 vs 3D=76
LRZ,7pv6,Size mismatch: SMILES=45 vs 3D=76
LRZ,7pv6,Size mismatch: SMILES=45 vs 3D=76
LSK,7ppq,Size mismatch: SMILES=47 vs 3D=82
LSK,7ppq,GRAPH_FULL skipped: size>80
LSK,7ppq,Size mismatch: SMILES=47 vs 3D=82
LSK,7ppq,GRAPH_FULL skipped: size>80
