Ligand,PDB,Error
YVG,7mb0,Size mismatch: SMILES=38 vs 3D=74
YVG,7mb0,Size mismatch: SMILES=38 vs 3D=74
YVJ,7mb1,Size mismatch: SMILES=39 vs 3D=75
YVJ,7mb1,Size mismatch: SMILES=39 vs 3D=75
YVM,7mb2,Size mismatch: SMILES=47 vs 3D=89
YVM,7mb2,GRAPH_FULL skipped: size>80
YVM,7mb2,Size mismatch: SMILES=47 vs 3D=89
YVM,7mb2,GRAPH_FULL skipped: size>80
YVP,7mau,Size mismatch: SMILES=43 vs 3D=79
YVP,7mau,Size mismatch: SMILES=43 vs 3D=79
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVV,7mb3,Size mismatch: SMILES=46 vs 3D=89
YVV,7mb3,GRAPH_FULL skipped: size>80
YVY,7mav,Size mismatch: SMILES=42 vs 3D=78
YVY,7mav,Size mismatch: SMILES=42 vs 3D=78
ZL7,7mng,Size mismatch: SMILES=36 vs 3D=72
