Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
V2M,Mpro,9o6d,A,401,9o6d_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6d,B,401,9o6d_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6e,B,401,9o6e_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6e,A,404,9o6e_A_V2M_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6f,A,401,9o6f_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6f,B,401,9o6f_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=62
V2M,Mpro,9o6p,A,401,9o6p_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9o6p,B,401,9o6p_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9o6q,A,401,9o6q_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9o6q,B,401,9o6q_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9o74,A,401,9o74_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9o74,B,401,9o74_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9opm,A,401,9opm_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9opm,B,401,9opm_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9opn,A,401,9opn_A_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9opn,B,401,9opn_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
VAL,Mpro,9bbp,A,402,9bbp_A_VAL_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=7
X4N,Mpro,8und,A,401,8und_A_X4N_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=37 vs 3D=71
X77,Mpro,8p56,A,406,8p56_A_X77_406,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p57,A,402,8p57_A_X77_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p58,A,406,8p58_A_X77_406,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p58,B,408,8p58_B_X77_408,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p5a,B,406,8p5a_B_X77_406,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p5a,A,410,8p5a_A_X77_410,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
X77,Mpro,8p87,A,404,8p87_A_X77_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
XEK,Mpro,9cdk,A,401,9cdk_A_XEK_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=116; GRAPH_FULL skipped: size>80
XEK,Mpro,9cdl,A,401,9cdl_A_XEK_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=58
