Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
DYRK1A,QKG,Cc1c2c(ccn1)c3ccc(cc3n2CCCC(=O)N)OC,DYRK1A_SCAF_29,c1ccc2c(c1)[nH]c1cnccc12,11430021
DYRK1A,A1IE7,c1cc(cnc1)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CCC5,DYRK1A_SCAF_45,c1cncc(CNc2nc(Nc3cc(C4CCC4)n[nH]3)c3sccc3n2)c1,b54485b5
DYRK1A,MFR,COc1ccnc2c1c(c[nH]2)c3ccnc(n3)N,DYRK1A_SCAF_46,c1cnc2[nH]cc(-c3ccncn3)c2c1,f0da2bd2
DYRK1A,RHH,Cc1nc2ccc(nc2n1CCOc3ccccn3)c4cc(nc(c4)N)N,DYRK1A_SCAF_30,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)nc1,be483996
DYRK1A,EKU,c1cc(c2c(c1O)C(=O)c3c(cc(cc3O2)O)O)O,DYRK1A_SCAF_47,O=c1c2ccccc2oc2ccccc12,99179ce9
DYRK1A,6SD,COc1ccc(cc1)c2cc([nH]n2)N,DYRK1A_SCAF_48,c1ccc(-c2cc[nH]n2)cc1,eb76a899
DYRK1A,QYZ,Cc1ccc(o1)/C=C/2\c3ccccc3NC2=O,DYRK1A_SCAF_49,O=C1Nc2ccccc2/C1=C\c1ccco1,54f3cc9c
DYRK1A,XIR,Cc1nc2ccc(nc2n1c3ccc(c(c3)F)N4CCN(CC4)C)c5ccnc(c5)N,DYRK1A_SCAF_50,c1cc(-c2ccc3ncn(-c4ccc(N5CCNCC5)cc4)c3n2)ccn1,448547f3
DYRK1A,MLW,c1cc2c3c([nH]c2c(c1)Cl)C=CC=CC3=O,DYRK1A_SCAF_51,O=c1ccccc2[nH]c3ccccc3c12,2cb685fd
DYRK1A,CUE,c1cc2c(cc1O)oc-3c2C(=O)Oc4c3ccc(c4)O,DYRK1A_SCAF_52,O=c1oc2ccccc2c2oc3ccccc3c12,df4c13e0
DYRK1A,QZW,Cc1nc2c(c(c[nH]2)c3ccnc(c3)N)c(n1)OCc4ccsc4,DYRK1A_SCAF_53,c1cc(-c2c[nH]c3ncnc(OCc4ccsc4)c23)ccn1,8cc481a0
DYRK1A,RKZ,Cc1nc2ccc(nc2n1C[C@@H](C)Oc3ccccc3)c4cc(nc(c4)N)N,DYRK1A_SCAF_14,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)cc1,06fab83d
DYRK1A,4E3,c1cc2c3c(c4cc(ccc4nc3C(=O)O)I)[nH]c2c(c1)Br,DYRK1A_SCAF_37,c1ccc2c(c1)ncc1c3ccccc3[nH]c21,91efa426
DYRK1A,QZ2,Cn1cc(cn1)c2cc([nH]n2)C(=O)O,DYRK1A_SCAF_54,c1cc(-c2cn[nH]c2)n[nH]1,b678a213
DYRK1A,A1IE6,c1cc(cc(c1)C(=O)N)CNc2nc3ccoc3c(n2)Nc4cc(n[nH]4)C5CCC5,DYRK1A_SCAF_55,c1ccc(CNc2nc(Nc3cc(C4CCC4)n[nH]3)c3occc3n2)cc1,58f8850a
DYRK1A,RK2,Cc1nc2ccc(nc2n1C[C@@H](C)Oc3ccccn3)c4cc(nc(c4)N)N,DYRK1A_SCAF_30,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)nc1,be483996
DYRK1A,A1IFO,c1cc(cc(c1)C(=O)N)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CC5,DYRK1A_SCAF_41,c1ccc(CNc2nc(Nc3cc(C4CC4)n[nH]3)c3sccc3n2)cc1,14c1272a
DYRK1A,YOX,c1cc2c(c([nH]c2c(c1)I)C3CCCC3)C#N,DYRK1A_SCAF_56,c1ccc2[nH]c(C3CCCC3)cc2c1,87c8b9ce
DYRK1A,9OF,CC1(Cc2cc(ccc2-c3c1c(ncn3)N)OC)C,DYRK1A_SCAF_57,c1ccc2c(c1)CCc1cncnc1-2,1d3b751a
