Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
Mpro,Mpro_SCAF_62,O=C1Cc2ccccc2N1,O=C1Cc2ccccc2N1,Bicyclic_Hetero,-1.0566710904961784e-14,-4.440892098500626e-15,-1.2538989454590004e-15,1,3,0.008522727272727272
Mpro,Mpro_SCAF_63,O=C(Cc1ccccn1)Nc1cccnc1,O=C(Cc1ccccn1)Nc1cccnc1,Bicyclic_Hetero,1.9326104502734207e-15,-4.440892098500626e-16,-0.044837908343674814,1,1,0.002840909090909091
Mpro,Mpro_SCAF_64,O=C(Nc1ccccc1)Nc1cccnc1,O=C(Nc1ccccc1)Nc1cccnc1,Bicyclic_Hetero,1.4770078164642823e-14,-3.9968028886505635e-15,-0.044837908343676826,1,3,0.008522727272727272
Mpro,Mpro_SCAF_65,O=C(Cc1cccnc1)Nc1ccccc1,O=C(Cc1cccnc1)Nc1ccccc1,Bicyclic_Hetero,-1.955578556232597e-14,2.1411444046342304e-15,0.14205663664458712,1,1,0.002840909090909091
Mpro,Mpro_SCAF_66,O=C(Cc1ccccc1)Nc1cn[nH]c1,O=C(Cc1ccccc1)Nc1cn[nH]c1,Bicyclic_Hetero,4.440892098500626e-15,-1.234055592756424e-15,0.01564157881009975,1,2,0.005681818181818182
Mpro,Mpro_SCAF_67,O=C(Cc1cccnc1)N(Cc1cc[nH]n1)c1ccc(-c2ccccn2)cc1,O=C(Cc1cccnc1)N(Cc1cc[nH]n1)c1ccc(-c2ccccn2)cc1,Polycyclic_Hetero,2.0205468504015813e-15,-1.4636046511866958e-14,2.362176648138631e-17,1,1,0.002840909090909091
Mpro,Mpro_SCAF_68,O=C(CC1CCCCC1)Nc1cccnc1,O=C(CC1CCCCC1)Nc1cccnc1,Bicyclic_Hetero,-1.5151278924296253e-15,-1.4367592083384379e-15,3.2131160477386884e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_69,O=C(Nc1nncn1C1CC1)[C@@H]1COc2ccccc21,O=C(Nc1nncn1C1CC1)[C@@H]1COc2ccccc21,Polycyclic_Hetero,1.959217102279688e-15,3.657205257588751e-16,-0.012421341158838573,1,1,0.002840909090909091
Mpro,Mpro_SCAF_7,C=C(C(=O)Nc1ccccc1)c1cccnc1,C=C(C(=O)Nc1ccccc1)c1cccnc1,Bicyclic_Hetero,1.362894471608813e-15,2.6370907373494046e-14,-0.06005862168144951,1,1,0.002840909090909091
Mpro,Mpro_SCAF_70,O=C1Cc2ccccc2N1Cc1ncon1,O=C1Cc2ccccc2N1Cc1ncon1,Polycyclic_Hetero,1.3926637620897963e-14,-2.5135449277513545e-15,-0.08647451539195682,1,1,0.002840909090909091
