protein,pdb,chain,ligand,MW,Name
HER2,8ts9,A,UE9,446.398,5-[3-fluoro-5-(trifluoromethyl)benzamido]-N-methyl-6-(2-methylanilino)pyridine-3-carboxamide
HER2,8tsa,A,UIW,457.296,5-(3-bromo-5-fluorobenzamido)-N-methyl-6-(2-methylanilino)pyridine-3-carboxamide
HER2,8tsb,A,UIW,457.296,5-(3-bromo-5-fluorobenzamido)-N-methyl-6-(2-methylanilino)pyridine-3-carboxamide
HER2,8tsc,A,UJC,485.43,"(1S)-7-[3-fluoro-5-(trifluoromethyl)benzamido]-N-methyl-1-(2-methylphenyl)-3-oxo-2,3-dihydro-1H-isoindole-5-carboxamide"
HER2,8tsd,A,XUZ,608.905,"N-{(3R,6M)-3-(2-chloro-5-fluorophenyl)-6-[(4S)-5-cyano[1,2,4]triazolo[1,5-a]pyridin-6-yl]-1-oxo-2,3-dihydro-1H-isoindol-4-yl}-3-fluoro-5-(trifluoromethyl)benzamide"
HER2,9cw7,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cw7,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cw7,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cw7,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cw7,A,A1A0E,228.293,"(2M)-4-methyl-5'-[(methylamino)methyl][2,3'-bipyridin]-6-amine"
HER2,9cw7,B,A1A0E,228.293,"(2M)-4-methyl-5'-[(methylamino)methyl][2,3'-bipyridin]-6-amine"
HER2,9cw7,C,A1A0E,228.293,"(2M)-4-methyl-5'-[(methylamino)methyl][2,3'-bipyridin]-6-amine"
HER2,9cw7,D,A1A0E,228.293,"(2M)-4-methyl-5'-[(methylamino)methyl][2,3'-bipyridin]-6-amine"
HER2,9cw7,A,GD3,157.25,GADOLINIUM ION
HER2,9cw7,B,GD3,157.25,GADOLINIUM ION
HER2,9cw7,D,GD3,157.25,GADOLINIUM ION
HER2,9cwk,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cwk,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cwk,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cwk,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9cwk,A,A1A0C,277.312,"(6M)-6-{2,3-difluoro-5-[2-(methylamino)ethyl]phenyl}-4-methylpyridin-2-amine"
HER2,9cwk,B,A1A0C,277.312,"(6M)-6-{2,3-difluoro-5-[2-(methylamino)ethyl]phenyl}-4-methylpyridin-2-amine"
HER2,9cwk,C,A1A0C,277.312,"(6M)-6-{2,3-difluoro-5-[2-(methylamino)ethyl]phenyl}-4-methylpyridin-2-amine"
HER2,9cwk,D,A1A0C,277.312,"(6M)-6-{2,3-difluoro-5-[2-(methylamino)ethyl]phenyl}-4-methylpyridin-2-amine"
HER2,9cwk,A,GD3,157.25,GADOLINIUM ION
HER2,9cwk,B,GD3,157.25,GADOLINIUM ION
HER2,9cwk,C,GD3,157.25,GADOLINIUM ION
HER2,9cwk,D,GD3,157.25,GADOLINIUM ION
HER2,9dw9,A,CLR,386.654,CHOLESTEROL
HER2,9dw9,A,D10,142.282,DECANE
HER2,9dw9,A,UND,156.308,UNDECANE
HER2,9i64,A,A1I0H,439.423,"(5~{R},6~{S},8~{R})-3,5,6-tris(fluoranyl)-8-[(1~{S},2~{R})-2-fluoranyl-7-methylsulfonyl-1-oxidanyl-2,3-dihydro-1~{H}-inden-4-yl]-5,6,7,8-tetrahydronaphthalene-1-carbonitrile"
HER2,9mwn,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwn,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwn,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwn,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwn,A,H44,459.63,N-(4-{2-[(3-{[(E)-imino(thiophen-2-yl)methyl]amino}benzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
HER2,9mwn,B,H44,459.63,N-(4-{2-[(3-{[(E)-imino(thiophen-2-yl)methyl]amino}benzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
HER2,9mwn,C,H44,459.63,N-(4-{2-[(3-{[(E)-imino(thiophen-2-yl)methyl]amino}benzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
HER2,9mwn,D,H44,459.63,N-(4-{2-[(3-{[(E)-imino(thiophen-2-yl)methyl]amino}benzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
HER2,9mwn,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwn,B,GD,157.25,GADOLINIUM ATOM
HER2,9mwn,D,GD,157.25,GADOLINIUM ATOM
HER2,9mwp,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwp,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwp,A,A1BT1,427.498,N-[3-({[2-(4-{[(E)-(furan-3-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-3-carboximidamide
HER2,9mwp,B,A1BT1,427.498,N-[3-({[2-(4-{[(E)-(furan-3-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-3-carboximidamide
HER2,9mwp,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwp,B,GD,157.25,GADOLINIUM ATOM
HER2,9mwr,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwr,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwr,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwr,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwr,A,A1BTV,461.606,"N-[3-({[2-(4-{[(Z)-imino(1,3-thiazol-2-yl)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]-1,3-thiazole-2-carboximidamide"
HER2,9mwr,B,A1BTV,461.606,"N-[3-({[2-(4-{[(Z)-imino(1,3-thiazol-2-yl)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]-1,3-thiazole-2-carboximidamide"
HER2,9mwr,C,A1BTV,461.606,"N-[3-({[2-(4-{[(Z)-imino(1,3-thiazol-2-yl)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]-1,3-thiazole-2-carboximidamide"
HER2,9mwr,D,A1BTV,461.606,"N-[3-({[2-(4-{[(Z)-imino(1,3-thiazol-2-yl)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]-1,3-thiazole-2-carboximidamide"
HER2,9mwr,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwr,B,GD,157.25,GADOLINIUM ATOM
