Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
0WN,N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)butanamide,C24 H27 Cl F N5 O3,non-polymer,CN(C)CCCC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,False,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"InChI=1S/C24H27ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h5-6,10-12,14,16H,3-4,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/t16-/m0/s1",JSENTLOBWVHLNR-INIZCTEOSA-N,487.96300000000014,4.613900000000004,88.61000000000001,7,2,9,4,3,0.375,34,0,0,0.45516192011018797,1170.7987407489293,-3.0099999999999993,24.12526978367294,10.943881871184095,6.105718050107318,0,0,1,3,1,10,130.5004,nan,True,True,True,False,True,None,None
6T5,"6-methyl-5-[(4-propan-2-ylphenyl)amino]-2~{H}-1,2,4-triazin-3-one",C13 H16 N4 O,non-polymer,CC1=NNC(=O)N=C1Nc2ccc(cc2)C(C)C,Cc1n[nH]c(=O)nc1Nc1ccc(C(C)C)cc1,False,Cc1n[nH]c(=O)nc1Nc1ccc(C(C)C)cc1,"InChI=1S/C13H16N4O/c1-8(2)10-4-6-11(7-5-10)14-12-9(3)16-17-13(18)15-12/h4-8H,1-3H3,(H2,14,15,17,18)",SRUWPAISQUBIOQ-UHFFFAOYSA-N,244.298,2.34032,70.67,4,2,3,2,2,0.3076923076923077,18,0,0,0.8689731052022257,586.685393785644,-2.1699999999999995,12.291219796440515,4.995022243690401,2.738963268476479,0,0,0,2,0,5,71.20340000000003,nan,True,True,True,False,True,None,None
0WM,(2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,C24 H25 Cl F N5 O3,non-polymer,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,False,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,485.9470000000002,4.389900000000003,88.61000000000001,7,2,8,4,3,0.2916666666666667,34,0,0,0.45729335341237065,1214.67784504622,-3.269999999999999,23.873698027859223,10.771676263256955,5.990027316260755,0,0,1,3,1,10,130.40640000000002,nan,True,True,True,False,True,None,Michael_acceptor_1
FRZ,"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE",C18 H13 N7,non-polymer,c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,False,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,"InChI=1S/C18H13N7/c19-17-12-10-13(20-22-18(12)23-21-17)15-14-8-4-5-9-25(14)24-16(15)11-6-2-1-3-7-11/h1-10H,(H3,19,21,22,23)",XVECMUKVOMUNLE-UHFFFAOYSA-N,327.351,2.916800000000001,97.78,6,2,2,5,5,0.0,25,0,0,0.519330999398628,1204.2865660812517,-3.7399999999999998,13.67651511532634,5.134073422307383,2.060337181638278,0,0,0,5,0,7,95.7181,nan,True,True,True,True,True,None,None
9ZV,"3-(3-benzyl-2-oxo-2H-[1,2,4]triazino[2,3-c]quinazolin-6-yl)propanoic acid",C20 H16 N4 O3,non-polymer,c1ccc(cc1)CC2=NN3C(=Nc4ccccc4C3=NC2=O)CCC(=O)O,O=C(O)CCc1nc2ccccc2c2nc(=O)c(Cc3ccccc3)nn12,False,O=C(O)CCc1nc2ccccc2c2nc(=O)c(Cc3ccccc3)nn12,"InChI=1S/C20H16N4O3/c25-18(26)11-10-17-21-15-9-5-4-8-14(15)19-22-20(27)16(23-24(17)19)12-13-6-2-1-3-7-13/h1-9H,10-12H2,(H,25,26)",RRZGYLKTEQRDCA-UHFFFAOYSA-N,360.37300000000016,2.2456999999999994,97.45,6,1,5,4,4,0.15,27,0,0,0.548326225685521,1202.4604272754557,-3.61,16.8368029259421,6.950874359416093,3.3914994286650324,0,0,0,4,0,7,99.76280000000007,nan,True,True,True,True,True,None,Polycyclic_aromatic_hydrocarbon_3
9QY,"methyl 2-[2-(1-benzyl-1H-imidazol-2-yl)ethyl]-3-chloro-4,6-dihydroxybenzoate",C20 H19 Cl N2 O4,non-polymer,COC(=O)c1c(cc(c(c1CCc2nccn2Cc3ccccc3)Cl)O)O,COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccccc1,False,COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccccc1,"InChI=1S/C20H19ClN2O4/c1-27-20(26)18-14(19(21)16(25)11-15(18)24)7-8-17-22-9-10-23(17)12-13-5-3-2-4-6-13/h2-6,9-11,24-25H,7-8,12H2,1H3",NCWIQXPFJORNJP-UHFFFAOYSA-N,386.83500000000004,3.5678000000000027,84.58,6,2,6,3,3,0.2,27,0,0,0.6325110313122655,954.1156069278611,-2.9899999999999998,18.790775027970348,8.1380158914819,4.061205955569536,0,0,0,3,0,7,101.30010000000003,nan,True,True,True,True,True,None,None
MRD,"(4R)-2-METHYLPENTANE-2,4-DIOL",C6 H14 O2,non-polymer,C[C@H](CC(C)(C)O)O,C[C@@H](O)CC(C)(C)O,False,C[C@@H](O)CC(C)(C)O,"InChI=1S/C6H14O2/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3/t5-/m1/s1",SVTBMSDMJJWYQN-RXMQYKEDSA-N,118.17599999999997,0.5282,40.46,2,2,2,0,0,1.0,8,0,0,0.5548951576761242,61.419011889093376,-0.08,7.919999999999998,2.464484911550468,5.92,0,0,0,0,0,2,32.59559999999998,nan,True,True,True,False,False,None,None
COA,COENZYME A,C21 H36 N7 O16 P3 S,non-polymer,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",RGJOEKWQDUBAIZ-IBOSZNHHSA-N,767.5410000000002,-1.6652999999999962,346.55999999999995,18,10,18,3,2,0.6666666666666666,48,0,0,0.05987721169208484,1593.4721832426824,-2.1100000000000003,40.32065647632231,16.275894519922357,11.203780872743495,0,0,1,2,1,27,163.4860999999999,nan,False,False,False,False,False,None,phosphor; thiol_2
MYA,TETRADECANOYL-COA,C35 H62 N7 O17 P3 S,non-polymer,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"InChI=1S/C35H62N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-26(44)63-19-18-37-25(43)16-17-38-33(47)30(46)35(2,3)21-56-62(53,54)59-61(51,52)55-20-24-29(58-60(48,49)50)28(45)34(57-24)42-23-41-27-31(36)39-22-40-32(27)42/h22-24,28-30,34,45-46H,4-21H2,1-3H3,(H,37,43)(H,38,47)(H,51,52)(H,53,54)(H2,36,39,40)(H2,48,49,50)/t24-,28-,29-,30+,34-/m1/s1",DUAFKXOFBZQTQE-QSGBVPJFSA-N,977.9020000000005,3.3658000000000032,363.63000000000005,19,9,31,3,2,0.7714285714285715,63,0,0,0.03861062263171854,1924.438701698063,-2.440000000000001,54.8910785839967,26.04243623357643,19.513974370415095,0,0,1,2,1,28,228.17609999999945,nan,False,False,False,False,False,None,Aliphatic_long_chain; phosphor; thioester
PRO,PROLINE,C5 H9 N O2,L-peptide linking,C1C[C@H](NC1)C(=O)O,O=C(O)[C@@H]1CCCN1,False,O=C(O)[C@@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,115.13199999999999,-0.17700000000000032,49.33,2,2,1,1,0,0.8,8,0,0,0.4982089208893278,96.60179219723159,-0.5700000000000001,5.564589502018842,2.1320002271579725,0.9795771931582414,0,0,1,0,1,3,28.660499999999992,nan,True,True,True,False,False,None,None
