protein,pdb,chain,ligand,MW,Name
PRMT4,6s70,B,KYB,450.538,"1-[5-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azanylpropyl)amino]pentyl]guanidine"
PRMT4,6s70,C,KYB,450.538,"1-[5-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azanylpropyl)amino]pentyl]guanidine"
PRMT4,6s70,D,KYB,450.538,"1-[5-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(3-azanylpropyl)amino]pentyl]guanidine"
PRMT4,6s71,A,KYE,494.548,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(5-carbamimidamidopentyl)amino]-2-azanyl-butanoic acid"
PRMT4,6s71,B,KYE,494.548,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(5-carbamimidamidopentyl)amino]-2-azanyl-butanoic acid"
PRMT4,6s71,C,KYE,494.548,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(5-carbamimidamidopentyl)amino]-2-azanyl-butanoic acid"
PRMT4,6s71,D,KYE,494.548,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-(5-carbamimidamidopentyl)amino]-2-azanyl-butanoic acid"
PRMT4,6s74,A,KY8,458.517,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[[3-azanylpropyl-[3-(pyrimidin-2-ylamino)propyl]amino]methyl]oxolane-3,4-diol"
PRMT4,6s74,B,KY8,458.517,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[[3-azanylpropyl-[3-(pyrimidin-2-ylamino)propyl]amino]methyl]oxolane-3,4-diol"
PRMT4,6s74,C,KY8,458.517,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[[3-azanylpropyl-[3-(pyrimidin-2-ylamino)propyl]amino]methyl]oxolane-3,4-diol"
PRMT4,6s74,D,KY8,458.517,"(2~{R},3~{R},4~{S},5~{R})-2-(6-aminopurin-9-yl)-5-[[3-azanylpropyl-[3-(pyrimidin-2-ylamino)propyl]amino]methyl]oxolane-3,4-diol"
PRMT4,6s77,A,KXW,501.539,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-[3-(pyridin-2-ylamino)propyl]amino]-2-azanyl-butanoic acid"
PRMT4,6s77,B,KXW,501.539,"(2~{S})-4-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-[3-(pyridin-2-ylamino)propyl]amino]-2-azanyl-butanoic acid"
