Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
BACE1,BACE1_SCAF_246,O=C1NCCCCCCC[C@@H](CCNCc2ccccc2)NC(=O)c2cccc1c2,O=C1NCCCCCCC[C@@H](CCNCc2ccccc2)NC(=O)c2cccc1c2,Polycyclic_Hetero,7.559667177961923e-13,3.9711091557949526e-13,-2.2660885513737918e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_247,O=C1N[C@H](CCNCc2ccccc2)CCCCCCCN(Cc2ccccc2)C(=O)c2cc1cc(-c1ncco1)c2,O=C1N[C@H](CCNCc2ccccc2)CCCCCCCN(Cc2ccccc2)C(=O)c2cc1cc(-c1ncco1)c2,Polycyclic_Hetero,-4.983005877841983e-14,1.0111153107195938e-14,0.07137290965147064,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_248,O=C1N[C@H](C[C@H]2COCCN2)Cc2cccc(c2)OCCCCNc2cccc1c2,O=C1N[C@H](C[C@H]2COCCN2)Cc2cccc(c2)OCCCCNc2cccc1c2,Polycyclic_Hetero,-8.699780422472538e-15,3.631657816002331e-14,5.5401948966540596e-15,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_249,O=C1COCCCCCCCC[C@@H](CCNCc2cc[nH]n2)NC(=O)CN1,O=C1COCCCCCCCC[C@@H](CCNCc2cc[nH]n2)NC(=O)CN1,Bicyclic_Hetero,-5.568184802129395e-14,9.97720424796474e-15,-0.04061872824772144,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_25,O=C(NCc1ccccc1)c1ccccc1,O=C(NCc1ccccc1)c1ccccc1,Bicyclic_Hetero,-9.459100169806334e-14,1.4287421820348565e-14,0.07345182150373904,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_250,O=C1N[C@H](CCNCc2ccccc2)CCCCOCCCCNc2cccc1c2,O=C1N[C@H](CCNCc2ccccc2)CCCCOCCCCNc2cccc1c2,Polycyclic_Hetero,-1.0111569701201426e-14,3.063873940880932e-14,-0.02493010854808593,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_251,O=C1N[C@H](CCNCc2ccccc2)CCCCCCCCCNc2cccc1c2,O=C1N[C@H](CCNCc2ccccc2)CCCCCCCCCNc2cccc1c2,Polycyclic_Hetero,1.8755146689428914e-13,-2.2290627055608366e-13,0.07686128328524607,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_252,O=C1N[C@H](CCNCc2ccccc2)CCCCOCCCCNc2cc1ccn2,O=C1N[C@H](CCNCc2ccccc2)CCCCOCCCCNc2cc1ccn2,Polycyclic_Hetero,-1.0755285551056204e-14,1.772193503057906e-14,0.039858940036371894,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_253,O=C1CCCCCCCCCC[C@@H](CCN[C@H]2CCOc3ccccc32)NC(=O)CN1,O=C1CCCCCCCCCC[C@@H](CCN[C@H]2CCOc3ccccc32)NC(=O)CN1,Polycyclic_Hetero,-1.7446361815538173e-15,2.5376526277146434e-16,0.009931814067800086,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_254,O=C1COCCCCCCCC[C@@H](CCNC2(c3ccccc3)CC2)NC(=O)CN1,O=C1COCCCCCCCC[C@@H](CCNC2(c3ccccc3)CC2)NC(=O)CN1,Polycyclic_Hetero,-3.957033705678916e-15,-4.30169995809986e-15,0.0768612832852612,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_255,O=C1N[C@H](CCNCc2ccccc2)Cc2cccc(c2)CCCCNc2cc1ccn2,O=C1N[C@H](CCNCc2ccccc2)Cc2cccc(c2)CCCCNc2cc1ccn2,Polycyclic_Hetero,-7.834011217511261e-15,-2.3037127760972e-15,0.03985894003636627,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_256,O=C1NCCc2cccc(c2)OCCCCOc2cccc1c2,O=C1NCCc2cccc(c2)OCCCCOc2cccc1c2,Polycyclic_Hetero,-8.761678251609985e-14,1.7884052824515804e-14,1.105681203160781e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_257,O=C1NCCCCCCCCCCOc2cccc1c2,O=C1NCCCCCCCCCCOc2cccc1c2,Bicyclic_Hetero,-3.513979231052468e-14,-2.8035598534062146e-14,0.020908012653823006,1,1,0.0027247956403269754
