Warhead,SMILES
1H6,['C[C@]1([C@@H](COC(=N1)N)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1H7,['C[C@]1([C@H](COC(=N1)N)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1H8,['C[C@]1(CCOC(=N1)N)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1HG,['C[C@]1([C@H]([C@H](OC(=N1)N)C(F)(F)F)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1HH,['C[C@]1([C@H]([C@@H](OC(=N1)N)C(F)(F)F)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1HJ,['C[C@]1(C[C@@H](OC(=N1)N)C(F)(F)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1HL,['C[C@]1(C[C@H](OC(=N1)N)C(F)(F)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1HM,['c1cc(c(cc1NC(=O)c2ccc(cn2)C#N)[C@@]3(C[C@H](OC(=N3)N)C(F)(F)F)CF)F']
1HO,['c1cc(c(cc1NC(=O)c2ccc(cn2)C#N)[C@@]3(C(COC(=N3)N)(F)F)CF)F']
1HQ,['c1cc(c(cc1NC(=O)c2ccc(cn2)C#N)[C@@]3(CCOC(=N3)N)C(F)F)F']
1LI,['CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCCCC2)c3cccc(c3)C(C)(C)C)O']
1M4,['CC1(C[C@@]2(c3cc(ccc3O1)Br)C(=O)N(C(=N2)N)C)C']
1M5,['CC1(C[C@@]2(c3cc(ccc3O1)c4cccc(c4)Cl)C(=O)N(C(=N2)N)C)C']
1M6,['CC1(C[C@@]2(c3cc(ccc3O1)c4cccc(c4)C#N)C(=O)N(C(=N2)N)C)C']
1M7,['CC1(Cc2ccc(cc2[C@]3(C1)C(=O)N(C(=N3)N)C)c4cncnc4)C']
1QT,['CCc1ccc2c(c1)[C@H](CC3(O2)CCC3)NC[C@H]([C@@H]4Cc5cccc(c5)CCCCCCCC(=O)N4)O']
1QU,['c1ccc(cc1)C[C@@H]([C@@H](CNCc2cccc(c2)C(F)(F)F)O)NC(=O)C3=CN(C(=O)C(=C3)N4CCCC4=O)C5CCCC5']
1R6,['CCc1ccc2c(c1)[C@H](CC3(O2)CCC3)NC[C@H]([C@@H]4Cc5cccc(c5)CCCCN6C=C(C=CC6=O)C(=O)N4)O']
1R8,['CCc1ccc2c(c1)[C@H](CC3(O2)CCC3)NC[C@H]([C@@H]4Cc5cccc(c5)CCCCCCC(=O)N4)O']
1SQ,['c1ccc2c(c1)ccnc2N']
1W0,['c1cc(cc(c1)[C@]23CCOC[C@H]2OC(=N3)N)c4cncnc4']
1W1,['c1cc(c(nc1)N2CC[C@]3([C@@H](C2)OC(=N3)N)c4ccc(cc4F)F)C#N']
1W2,['c1cc(c(nc1)N2CC[C@@H]3[C@](C2)(N=C(O3)N)c4ccc(cc4F)F)C#N']
1WP,['c1cc(cc(c1)[C@]23CCCC[C@H]2OC(=N3)N)c4cc(cnc4)Cl']
1YS,['CC(C)(C)c1cccc(c1)CN[C@H]2C[S@](=O)C[C@H]([C@@H]2O)Cc3cc(c(c(c3)F)N)OC(C(F)(F)F)C(F)(F)F']
1YT,['CC(C)(C)c1cccc(c1)CN[C@H]2C[S@](=O)C[C@H]([C@@H]2O)Cc3cc(c(c(c3)F)N)O[C@H](COC)C(F)(F)F']
1YU,['CC(C)(C)c1cccc(c1)CN[C@H]2C[S@@](=O)C[C@H]([C@@H]2O)Cc3cc(c(c(c3)F)N)OC(C(F)(F)F)C(F)(F)F']
23I,['CC(C)C[C@@H]([C@H](C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NC(C)C)O)NC(=O)c1cc(cc(c1)[N@@](C)S(=O)(=O)C)C(=O)N[C@H](C)c2ccccc2']
251,['[H]/N=C(\\N)/NC(=O)Cn1c(ccc1c2ccccc2)c3ccccc3']
2AQ,['c1ccc2c(c1)ccc(n2)N']
2EX,['CN1C(=O)[C@@]2(c3cc(ccc3O[C@@H]4[C@@H]2COCC4)c5cccnc5F)N=C1N']
2FB,['Cc1nc2c(s1)[C@@](N=C2N)(c3ccc(cc3)OC)c4cccc(c4)c5cncnc5']
