Scaffold_ID,Recruiter_Count,Protein
BACE1_SCAF_4,3,BACE1
BACE1_SCAF_40,1,BACE1
BACE1_SCAF_41,1,BACE1
BACE1_SCAF_42,1,BACE1
BACE1_SCAF_43,1,BACE1
BACE1_SCAF_44,1,BACE1
BACE1_SCAF_45,1,BACE1
BACE1_SCAF_46,1,BACE1
BACE1_SCAF_47,1,BACE1
BACE1_SCAF_48,2,BACE1
BACE1_SCAF_49,1,BACE1
BACE1_SCAF_5,1,BACE1
BACE1_SCAF_50,1,BACE1
BACE1_SCAF_51,1,BACE1
BACE1_SCAF_52,1,BACE1
BACE1_SCAF_53,1,BACE1
BACE1_SCAF_54,2,BACE1
BACE1_SCAF_55,1,BACE1
BACE1_SCAF_56,1,BACE1
BACE1_SCAF_57,1,BACE1
BACE1_SCAF_58,3,BACE1
BACE1_SCAF_59,2,BACE1
BACE1_SCAF_6,1,BACE1
BACE1_SCAF_60,2,BACE1
BACE1_SCAF_61,4,BACE1
BACE1_SCAF_62,1,BACE1
BACE1_SCAF_63,1,BACE1
BACE1_SCAF_64,1,BACE1
BACE1_SCAF_65,1,BACE1
BACE1_SCAF_66,1,BACE1
BACE1_SCAF_67,1,BACE1
BACE1_SCAF_68,1,BACE1
BACE1_SCAF_69,1,BACE1
BACE1_SCAF_7,1,BACE1
BACE1_SCAF_70,1,BACE1
BACE1_SCAF_71,2,BACE1
BACE1_SCAF_72,1,BACE1
BACE1_SCAF_73,4,BACE1
BACE1_SCAF_74,1,BACE1
BACE1_SCAF_75,1,BACE1
BACE1_SCAF_76,1,BACE1
BACE1_SCAF_77,2,BACE1
BACE1_SCAF_78,2,BACE1
BACE1_SCAF_79,1,BACE1
BACE1_SCAF_8,1,BACE1
BACE1_SCAF_80,1,BACE1
BACE1_SCAF_81,2,BACE1
BACE1_SCAF_82,1,BACE1
BACE1_SCAF_83,1,BACE1
BACE1_SCAF_84,1,BACE1
BACE1_SCAF_85,2,BACE1
BACE1_SCAF_86,1,BACE1
BACE1_SCAF_87,2,BACE1
BACE1_SCAF_88,1,BACE1
BACE1_SCAF_89,1,BACE1
BACE1_SCAF_9,1,BACE1
BACE1_SCAF_90,1,BACE1
BACE1_SCAF_91,1,BACE1
BACE1_SCAF_92,1,BACE1
BACE1_SCAF_93,1,BACE1
BACE1_SCAF_94,1,BACE1
BACE1_SCAF_95,1,BACE1
BACE1_SCAF_96,3,BACE1
BACE1_SCAF_97,1,BACE1
BACE1_SCAF_98,1,BACE1
BACE1_SCAF_99,1,BACE1
