protein,pdb,chain,ligand,MW,Name
DYRK1A,6ln1,A,EKU,260.199,"1,3,5,8-tetrakis(oxidanyl)xanthen-9-one"
DYRK1A,6ln1,B,EKU,260.199,"1,3,5,8-tetrakis(oxidanyl)xanthen-9-one"
DYRK1A,6eiq,A,B6Z,423.531,"[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]-phenyl-methanone"
DYRK1A,6eiq,B,B6Z,423.531,"[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]-phenyl-methanone"
DYRK1A,6eiq,C,B6Z,423.531,"[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]-phenyl-methanone"
DYRK1A,6eiq,D,B6Z,423.531,"[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]-phenyl-methanone"
DYRK1A,6eir,A,B6H,494.609,"~{N}-[4-[[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eir,B,B6H,494.609,"~{N}-[4-[[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eir,C,B6H,494.609,"~{N}-[4-[[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eir,D,B6H,494.609,"~{N}-[4-[[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6s17,A,KQK,240.264,"~{N},~{N}-dimethyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,6s1b,A,KRQ,226.237,"~{N}-methyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,6qu2,A,JHW,320.368,"8-cyclopropyl-2-pyridin-3-yl-[1,3]thiazolo[5,4-f]quinazolin-9-one"
DYRK1A,6qu2,B,JHW,320.368,"8-cyclopropyl-2-pyridin-3-yl-[1,3]thiazolo[5,4-f]quinazolin-9-one"
DYRK1A,6qu2,C,JHW,320.368,"8-cyclopropyl-2-pyridin-3-yl-[1,3]thiazolo[5,4-f]quinazolin-9-one"
DYRK1A,6qu2,D,JHW,320.368,"8-cyclopropyl-2-pyridin-3-yl-[1,3]thiazolo[5,4-f]quinazolin-9-one"
DYRK1A,6s1j,A,KRK,284.292,"3-[2-[(3~{S})-3-fluoranylpyrrolidin-1-yl]pyrimidin-4-yl]pyrazolo[1,5-b]pyridazine"
DYRK1A,6uip,A,Q8J,434.534,"4-ethyl-N-{4-[1-(oxan-4-yl)-1H-pyrrolo[2,3-c]pyridin-3-yl]pyridin-2-yl}piperazine-1-carboxamide"
DYRK1A,6uip,B,Q8J,434.534,"4-ethyl-N-{4-[1-(oxan-4-yl)-1H-pyrrolo[2,3-c]pyridin-3-yl]pyridin-2-yl}piperazine-1-carboxamide"
DYRK1A,6uip,C,Q8J,434.534,"4-ethyl-N-{4-[1-(oxan-4-yl)-1H-pyrrolo[2,3-c]pyridin-3-yl]pyridin-2-yl}piperazine-1-carboxamide"
DYRK1A,6uwy,A,QKG,297.352,4-(7-methoxy-1-methyl-9H-beta-carbolin-9-yl)butanamide
DYRK1A,6uwy,B,QKG,297.352,4-(7-methoxy-1-methyl-9H-beta-carbolin-9-yl)butanamide
DYRK1A,6uwy,C,QKG,297.352,4-(7-methoxy-1-methyl-9H-beta-carbolin-9-yl)butanamide
DYRK1A,6uwy,D,QKG,297.352,4-(7-methoxy-1-methyl-9H-beta-carbolin-9-yl)butanamide
DYRK1A,6t6a,A,MLW,229.662,4-chloranyl-5~{H}-cyclohepta[b]indol-10-one
DYRK1A,6t6a,B,MLW,229.662,4-chloranyl-5~{H}-cyclohepta[b]indol-10-one
DYRK1A,6t6a,C,MLW,229.662,4-chloranyl-5~{H}-cyclohepta[b]indol-10-one
DYRK1A,7a51,A,QYK,252.071,"4-azanyl-6-bromanyl-7-methyl-pyrrolo[2,3-d]pyrimidine-5-carbonitrile"
DYRK1A,6s14,A,KQW,266.301,"~{N}-cyclopropyl-~{N}-methyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,7a4r,A,QY8,150.138,"2-amino-3H,4H,7H-pyrrolo[2,3-d]pyrimidin-4-one"
DYRK1A,7a4r,B,QY8,150.138,"2-amino-3H,4H,7H-pyrrolo[2,3-d]pyrimidin-4-one"
DYRK1A,6yf8,A,OPW,299.348,"~{N}-[5-(5-methoxy-1,3-benzothiazol-2-yl)pyridin-3-yl]ethanamide"
DYRK1A,6yf8,B,OPW,299.348,"~{N}-[5-(5-methoxy-1,3-benzothiazol-2-yl)pyridin-3-yl]ethanamide"
DYRK1A,6yf8,C,OPW,299.348,"~{N}-[5-(5-methoxy-1,3-benzothiazol-2-yl)pyridin-3-yl]ethanamide"
DYRK1A,6yf8,D,OPW,299.348,"~{N}-[5-(5-methoxy-1,3-benzothiazol-2-yl)pyridin-3-yl]ethanamide"
DYRK1A,7a4s,A,QYE,184.646,"7-chlorothieno[3,2-c]pyridin-4-amine"
DYRK1A,6s1i,A,KR8,302.333,"~{N}-methyl-~{N}-phenyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,6s1i,B,KR8,302.333,"~{N}-methyl-~{N}-phenyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,6s1i,C,KR8,302.333,"~{N}-methyl-~{N}-phenyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,6s1i,D,KR8,302.333,"~{N}-methyl-~{N}-phenyl-4-pyrazolo[1,5-b]pyridazin-3-yl-pyrimidin-2-amine"
DYRK1A,7a4w,A,QYH,216.239,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine"
DYRK1A,7a4w,B,QYH,216.239,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine"
DYRK1A,7a4z,A,6SD,189.214,3-(4-methoxyphenyl)-1~{H}-pyrazol-5-amine
DYRK1A,7a53,A,QYZ,225.243,(3~{E})-3-[(5-methylfuran-2-yl)methylidene]-1~{H}-indol-2-one
DYRK1A,7a53,B,QYZ,225.243,(3~{E})-3-[(5-methylfuran-2-yl)methylidene]-1~{H}-indol-2-one
DYRK1A,7a52,A,QYB,212.207,"3-phenyl-1H,4H,5H-pyrazolo[3,4-d]pyrimidin-4-one"
DYRK1A,7a52,B,QYB,212.207,"3-phenyl-1H,4H,5H-pyrazolo[3,4-d]pyrimidin-4-one"
DYRK1A,7a55,A,QZ2,192.175,3-(1-methylpyrazol-4-yl)-1~{H}-pyrazole-5-carboxylic acid
DYRK1A,7a55,B,QZ2,192.175,3-(1-methylpyrazol-4-yl)-1~{H}-pyrazole-5-carboxylic acid
DYRK1A,7a5b,A,MFR,241.249,"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,7a5b,B,MFR,241.249,"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,7a5l,A,QZW,337.399,"4-[2-methyl-4-(thiophen-3-ylmethoxy)-7~{H}-pyrrolo[2,3-d]pyrimidin-5-yl]pyridin-2-amine"
DYRK1A,7aj5,A,RHW,225.246,"4-(1-benzofuran-5-yl)pyridine-2,6-diamine"
DYRK1A,7a5d,A,QYW,250.259,"4-azanyl-2-methyl-6-pyridin-3-yl-7~{H}-pyrrolo[2,3-d]pyrimidine-5-carbonitrile"
DYRK1A,7aj2,A,RJ5,200.236,4-(4-methoxyphenyl)pyridin-2-amine
DYRK1A,7aj4,A,RHZ,234.682,4-(4-chloranyl-3-methoxy-phenyl)pyridin-2-amine
DYRK1A,7aj8,A,RJ8,210.231,4-(1-benzofuran-5-yl)pyridin-2-amine
DYRK1A,7a5n,A,R05,366.367,"5-(2-azanylpyridin-4-yl)-~{N}-[[2,6-bis(fluoranyl)phenyl]methyl]-2-methyl-7~{H}-pyrrolo[2,3-d]pyrimidin-4-amine"
DYRK1A,7a5n,B,R05,366.367,"5-(2-azanylpyridin-4-yl)-~{N}-[[2,6-bis(fluoranyl)phenyl]methyl]-2-methyl-7~{H}-pyrrolo[2,3-d]pyrimidin-4-amine"
DYRK1A,7aja,A,RJ2,279.336,1-[4-(1-benzofuran-5-yl)pyridin-2-yl]piperazine
DYRK1A,7ajm,A,RKW,296.324,~{N}-[6-azanyl-4-(1-benzofuran-5-yl)pyridin-2-yl]-2-(methylamino)ethanamide
DYRK1A,7ajm,B,RKW,296.324,~{N}-[6-azanyl-4-(1-benzofuran-5-yl)pyridin-2-yl]-2-(methylamino)ethanamide
DYRK1A,7ak2,A,RHH,361.4,"4-[2-methyl-3-(2-pyridin-2-yloxyethyl)imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ak2,B,RHH,361.4,"4-[2-methyl-3-(2-pyridin-2-yloxyethyl)imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7akb,A,RJZ,440.297,"4-[3-[2-(6-bromanylpyridin-2-yl)oxyethyl]-2-methyl-imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7akb,B,RJZ,440.297,"4-[3-[2-(6-bromanylpyridin-2-yl)oxyethyl]-2-methyl-imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ake,A,RK8,454.323,"4-[3-[(2~{S})-2-(6-bromanylpyridin-2-yl)oxypropyl]-2-methyl-imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ake,B,RK8,454.323,"4-[3-[(2~{S})-2-(6-bromanylpyridin-2-yl)oxypropyl]-2-methyl-imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ajv,A,RKK,338.45,"4-(2,3-dibutylimidazo[4,5-b]pyridin-5-yl)pyridine-2,6-diamine"
DYRK1A,7ajv,B,RKK,338.45,"4-(2,3-dibutylimidazo[4,5-b]pyridin-5-yl)pyridine-2,6-diamine"
DYRK1A,7ajy,A,RKZ,374.439,"4-[2-methyl-3-[(2~{R})-2-phenoxypropyl]imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ajy,B,RKZ,374.439,"4-[2-methyl-3-[(2~{R})-2-phenoxypropyl]imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7aj7,A,RHT,239.276,"4-(3-methylbenzimidazol-5-yl)pyridine-2,6-diamine"
DYRK1A,7ajs,A,RKH,239.273,"4-(2-methyl-1-benzofuran-5-yl)pyridine-2,6-diamine"
DYRK1A,7ajs,B,RKH,239.273,"4-(2-methyl-1-benzofuran-5-yl)pyridine-2,6-diamine"
DYRK1A,7aka,A,RK2,375.427,"4-[2-methyl-3-[(2~{R})-2-pyridin-2-yloxypropyl]imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7aka,B,RK2,375.427,"4-[2-methyl-3-[(2~{R})-2-pyridin-2-yloxypropyl]imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7ajw,A,RKQ,360.412,"4-[2-methyl-3-(2-phenoxyethyl)imidazo[4,5-b]pyridin-5-yl]pyridine-2,6-diamine"
DYRK1A,7akl,A,RK5,253.299,"4-(2,3-dimethyl-1-benzofuran-5-yl)pyridine-2,6-diamine"
DYRK1A,7fht,A,4WD,275.346,"(5~{Z})-5-[(3-ethynyl-4-methoxy-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fht,B,4WD,275.346,"(5~{Z})-5-[(3-ethynyl-4-methoxy-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fht,C,4WD,275.346,"(5~{Z})-5-[(3-ethynyl-4-methoxy-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fht,D,4WD,275.346,"(5~{Z})-5-[(3-ethynyl-4-methoxy-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,8yev,A,CUE,268.221,Coumestrol
DYRK1A,8yev,B,CUE,268.221,Coumestrol
DYRK1A,8c3q,A,RUT,610.517,RUTIN
DYRK1A,8c3q,B,RUT,610.517,RUTIN
DYRK1A,8c3r,A,R7O,480.376,Gossypin
DYRK1A,8c3r,B,R7O,480.376,Gossypin
DYRK1A,7fhs,A,4VZ,281.351,"(5~{Z})-5-[(3-ethoxy-4-oxidanyl-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fhs,B,4VZ,281.351,"(5~{Z})-5-[(3-ethoxy-4-oxidanyl-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fhs,C,4VZ,281.351,"(5~{Z})-5-[(3-ethoxy-4-oxidanyl-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7fhs,D,4VZ,281.351,"(5~{Z})-5-[(3-ethoxy-4-oxidanyl-phenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one"
DYRK1A,7zh8,A,IWU,199.008,"6-bromanyl-3H-[1,2,3]triazolo[4,5-b]pyridine"
DYRK1A,7zh8,B,IWU,199.008,"6-bromanyl-3H-[1,2,3]triazolo[4,5-b]pyridine"
DYRK1A,7zh8,C,IWU,199.008,"6-bromanyl-3H-[1,2,3]triazolo[4,5-b]pyridine"
DYRK1A,7zh8,D,IWU,199.008,"6-bromanyl-3H-[1,2,3]triazolo[4,5-b]pyridine"
