Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
Acetylcholinesterase,NHG,C[C@@]12CCN[C@@H]1Nc3c2cc(cc3)O,Acetylcholinesterase_SCAF_42,c1ccc2c(c1)N[C@H]1NCCC21,133b7cdd
Acetylcholinesterase,TJH,c1cc2c(c(c1)O)C(=O)C=C(C2=O)NCCNc3c4ccc(cc4nc5c3CCCC5)Cl,Acetylcholinesterase_SCAF_43,O=C1C=C(NCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,642d1811
Acetylcholinesterase,HTB,c1ccc2c(c1)cc(o2)CNCCCCCCCNc3c4ccccc4nc5c3CCCC5,Acetylcholinesterase_SCAF_44,c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,f5304ad9
Acetylcholinesterase,4VV,C1N(/C(=C/NO)/N=C1)CCCCCCCN2/C(=C/NO)/N=CC2,Acetylcholinesterase_SCAF_45,C=C1N=CCN1CCCCCCCN1CC=NC1=C,cb935697
Acetylcholinesterase,TNH,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCNC(=O)c4cccnc4,Acetylcholinesterase_SCAF_46,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cccnc1,47222508
Acetylcholinesterase,HBP,c1cc[n+](c(c1)\C=N\O)CCCCCCC[n+]2ccccc2\C=N\O,Acetylcholinesterase_SCAF_47,c1cc[n+](CCCCCCC[n+]2ccccc2)cc1,ae2766cb
Acetylcholinesterase,MBT,CN(C)c1ccc2c(c1)[s+]c3cc(ccc3n2)N(C)C,Acetylcholinesterase_SCAF_48,c1ccc2[s+]c3ccccc3nc2c1,9eb6865e
Acetylcholinesterase,03S,CS(=O)(=O)O,Acetylcholinesterase_SCAF_49,,b1867857
Acetylcholinesterase,AE4,CCOCCOCCOCCOCCOCCO,Acetylcholinesterase_SCAF_50,,51a26804
Acetylcholinesterase,DZ0,COc1ccc2c(c1)C/C(=C\C3CCN(CC3)Cc4ccccc4)/C2=O,Acetylcholinesterase_SCAF_51,O=C1/C(=C/C2CCN(Cc3ccccc3)CC2)Cc2ccccc21,9a415245
Acetylcholinesterase,OMI,CN1CC(=O)c2c1cccc2,Acetylcholinesterase_SCAF_52,O=C1CNc2ccccc21,b9a97a42
Acetylcholinesterase,DZ7,COc1cc2c(cc1OC)C(=O)/C(=C/C3CCN(CC3)Cc4ccccc4)/C2,Acetylcholinesterase_SCAF_51,O=C1/C(=C/C2CCN(Cc3ccccc3)CC2)Cc2ccccc21,9a415245
Acetylcholinesterase,9A5,c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)NCCCCCCNc3c4ccc(cc4nc5c3CCCC5)Cl)N,Acetylcholinesterase_SCAF_53,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,501870ec
Acetylcholinesterase,RM0,c1cc(c(nc1CCCCCN2CCOCC2)/C=N/O)O,Acetylcholinesterase_SCAF_54,c1ccc(CCCCCN2CCOCC2)nc1,db8177e0
Acetylcholinesterase,C6K,COc1c2cc[nH]c2c(cc1C(=O)CCC3CCN(CC3)Cc4ccccc4)Cl,Acetylcholinesterase_SCAF_55,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]ccc2c1,2f6652b1
Acetylcholinesterase,C6H,COc1c2cc[nH]c2c(cc1C(=O)CCC3CCN(CC3)CC4CCCCC4)Cl,Acetylcholinesterase_SCAF_56,O=C(CCC1CCN(CC2CCCCC2)CC1)c1ccc2[nH]ccc2c1,0de34c49
Acetylcholinesterase,1PG,COCCOCCOCCOCCOCCO,Acetylcholinesterase_SCAF_57,,e48d7f7a
Acetylcholinesterase,DQ5,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N/O)O,Acetylcholinesterase_SCAF_58,c1ccc(CCCCNc2c3c(nc4ccccc24)CCCC3)nc1,860a1df8
Acetylcholinesterase,E2W,c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)CNO)O,Acetylcholinesterase_SCAF_58,c1ccc(CCCCNc2c3c(nc4ccccc24)CCCC3)nc1,860a1df8
Acetylcholinesterase,NTJ,CCO[P@H](=O)N(C)C,Acetylcholinesterase_SCAF_59,,d7837e40
Acetylcholinesterase,E1K,C[n+]1c2cc(ccc2c(c3c1CCCC3)N)Cl,Acetylcholinesterase_SCAF_19,c1ccc2[nH+]c3c(cc2c1)CCCC3,53355f9f
