Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
60X,BACE1,5he7,A,501,5he7_A_60X_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60X,BACE1,5he7,B,501,5he7_B_60X_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60Y,BACE1,5hd0,A,502,5hd0_A_60Y_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
60Y,BACE1,5hd0,B,502,5hd0_B_60Y_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
66H,BACE1,5hu0,A,502,5hu0_A_66H_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
66H,BACE1,5hu0,B,502,5hu0_B_66H_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
66J,BACE1,5htz,A,501,5htz_A_66J_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
66J,BACE1,5htz,B,501,5htz_B_66J_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
6IP,BACE1,2ohp,A,389,2ohp_A_6IP_389,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=18 vs 3D=34
6Z0,BACE1,3zmg,A,1448,3zmg_A_6Z0_1448,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
779,BACE1,4r93,B,502,4r93_B_779_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
779,BACE1,4r93,A,503,4r93_A_779_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
7IP,BACE1,2ohq,A,404,2ohq_A_7IP_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=44
8IP,BACE1,2ohr,A,504,2ohr_A_8IP_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=37
954,BACE1,5hdz,A,501,5hdz_A_954_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
954,BACE1,5hdz,B,501,5hdz_B_954_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
9IP,BACE1,2ohs,A,389,2ohs_A_9IP_389,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=42
BDJ,BACE1,3l59,A,1,3l59_A_BDJ_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=18 vs 3D=17
BDO,BACE1,3l5b,A,1,3l5b_A_BDO_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=20
BDO,BACE1,3l5b,B,455,3l5b_B_BDO_455,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=20
BDQ,BACE1,3l5c,A,1,3l5c_A_BDQ_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
BDQ,BACE1,3l5c,B,1,3l5c_B_BDQ_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
BDV,BACE1,3l5d,A,1,3l5d_A_BDV_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
