Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
PRMT4,XJ4,Cc1c(nc(nc1Nc2ccccc2)c3cccc(c3)CNCCNC)c4c(noc4C)C,PRMT4_SCAF_24,c1ccc(Nc2cc(-c3cnoc3)nc(-c3ccccc3)n2)cc1,0c116c6d
PRMT4,LSK,[H]/N=C(/NCCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_25,N=C(NCCCCCNC(=O)Nc1ccc2ccccc2c1)NC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,a9006013
PRMT4,7ZH,[H]/N=C(/NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_26,N=C(NCCCCNC(=O)Nc1ccc2ccccc2c1)NC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,bb160daf
PRMT4,4R7,[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_27,N=C(NCCCCNC(=O)Nc1ccc2ccccc2c1)NCC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,5b846cc4
PRMT4,85U,[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NC/C=C/[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_28,N=C(NC/C=C/[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCCCNC(=O)Nc1ccc2ccccc2c1,1333a5b2
PRMT4,867,[H]/N=C(\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NCCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_29,N=C(NCCCCNC(=O)Nc1ccc2ccccc2c1)NCCC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,64f8e629
PRMT4,LRZ,[H]/N=C(\NCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_30,N=C(NCCCNC(=O)Nc1ccc2ccccc2c1)NC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,709b06cb
PRMT4,44T,CCc1ccncc1CNCCCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3ccc4c3ncnc4N)O)O,PRMT4_SCAF_31,c1cncc(CNCCCCSC[C@@H]2CC[C@H](n3ccc4cncnc43)O2)c1,44610a08
PRMT4,YVU,c1ccc(cc1)CNC(=O)NCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_32,O=C(NCCSC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCc1ccccc1,8c2c8da9
PRMT4,I0B,[H]/N=C(/NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)\Nc5cccc(c5)Br,PRMT4_SCAF_33,N=C(NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]1CC[C@H](n2cnc3cncnc32)O1)Nc1ccccc1,15ea9a79
PRMT4,GWU,c1ccc(cc1)CNC(=O)NCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_34,O=C(NCCNC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCc1ccccc1,be8524ee
PRMT4,I1K,[H]/N=C(\NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)/NC5CCCC5,PRMT4_SCAF_35,N=C(NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NC1CCCC1,38c80745
PRMT4,X9L,c1cc(cc(c1)Br)CNCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_36,c1ccc(CNCCSC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)cc1,da296395
PRMT4,A1IZI,[H]/N=C(/NCCC[C@@H](C(=O)OCc1ccccc1)NC(=O)OCc2ccccc2)\N(C)CCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_37,N=C(NCCC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,6c47c7bb
PRMT4,A1IZ2,[H]/N=C(\NCCC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)/NCCC[C@@H](C(=O)OCc4ccccc4)NC(=O)OCc5ccccc5,PRMT4_SCAF_37,N=C(NCCC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,6c47c7bb
