Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
8ZB,PRMT4,5lgq,G,101,5lgq_G_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
8ZB,PRMT4,5lgq,H,101,5lgq_H_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
BW4,PRMT4,6arj,A,502,6arj_A_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=82; GRAPH_FULL skipped: size>80
BW4,PRMT4,6arj,B,502,6arj_B_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=80
BW4,PRMT4,6arj,C,502,6arj_C_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=82; GRAPH_FULL skipped: size>80
BW4,PRMT4,6arj,D,502,6arj_D_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=80
DSH,PRMT4,5is7,C,502,5is7_C_DSH_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=44
DSH,PRMT4,5is7,D,502,5is7_D_DSH_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=44
DSH,PRMT4,5is7,B,503,5is7_B_DSH_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=44
DSH,PRMT4,5is7,A,504,5is7_A_DSH_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=44
DXE,PRMT4,5ih3,B,507,5ih3_B_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ih3,C,507,5ih3_C_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ih3,B,508,5ih3_B_DXE_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ih3,C,508,5ih3_C_DXE_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,D,503,5is6_D_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,A,505,5is6_A_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,A,506,5is6_A_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,C,506,5is6_C_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,B,2004,5is6_B_DXE_2004,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is6,B,2005,5is6_B_DXE_2005,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is9,A,509,5is9_A_DXE_509,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5is9,A,510,5is9_A_DXE_510,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isa,A,504,5isa_A_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isa,C,504,5isa_C_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isa,C,505,5isa_C_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isc,C,503,5isc_C_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isc,D,503,5isc_D_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ise,B,503,5ise_B_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ise,C,503,5ise_C_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ise,C,504,5ise_C_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ise,A,505,5ise_A_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isf,B,504,5isf_B_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isf,C,504,5isf_C_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isf,B,505,5isf_B_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isf,A,507,5isf_A_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isg,A,501,5isg_A_DXE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isg,B,501,5isg_B_DXE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isg,A,502,5isg_A_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,D,503,5ish_D_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,A,506,5ish_A_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,C,506,5ish_C_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,C,507,5ish_C_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,C,508,5ish_C_DXE_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ish,C,509,5ish_C_DXE_509,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isi,A,503,5isi_A_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5isi,C,503,5isi_C_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8v,A,502,5k8v_A_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,A,502,5k8w_A_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,C,502,5k8w_C_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,D,502,5k8w_D_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,A,503,5k8w_A_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,C,503,5k8w_C_DXE_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8w,C,507,5k8w_C_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
