protein,pdb,chain,ligand,MW,Name
CRBN,9odr,B,A1CAV,355.388,"(3S)-3-(6-oxo-6,8-dihydro-2H,7H-spiro[furo[2,3-e]isoindole-3,4'-piperidin]-7-yl)piperidine-2,6-dione"
CRBN,9odr,C,A1CAV,355.388,"(3S)-3-(6-oxo-6,8-dihydro-2H,7H-spiro[furo[2,3-e]isoindole-3,4'-piperidin]-7-yl)piperidine-2,6-dione"
CRBN,9odr,D,A1CAV,355.388,"(3S)-3-(6-oxo-6,8-dihydro-2H,7H-spiro[furo[2,3-e]isoindole-3,4'-piperidin]-7-yl)piperidine-2,6-dione"
CRBN,9ods,A,A1CAW,339.349,"(1P)-1-[(4S)-8H-spiro[furo[2,3-c]imidazo[1,2-a]pyridine-7,4'-piperidin]-3-yl]pyrimidine-2,4(1H,3H)-dione"
CRBN,9ods,B,A1CAW,339.349,"(1P)-1-[(4S)-8H-spiro[furo[2,3-c]imidazo[1,2-a]pyridine-7,4'-piperidin]-3-yl]pyrimidine-2,4(1H,3H)-dione"
CRBN,9ods,C,A1CAW,339.349,"(1P)-1-[(4S)-8H-spiro[furo[2,3-c]imidazo[1,2-a]pyridine-7,4'-piperidin]-3-yl]pyrimidine-2,4(1H,3H)-dione"
CRBN,9ods,D,A1CAW,339.349,"(1P)-1-[(4S)-8H-spiro[furo[2,3-c]imidazo[1,2-a]pyridine-7,4'-piperidin]-3-yl]pyrimidine-2,4(1H,3H)-dione"
CRBN,9ohq,A,A1CBH,457.524,"(3S)-3-[(5M)-5-{1-methyl-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohq,C,A1CBH,457.524,"(3S)-3-[(5M)-5-{1-methyl-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohq,E,A1CBH,457.524,"(3S)-3-[(5M)-5-{1-methyl-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohq,G,A1CBH,457.524,"(3S)-3-[(5M)-5-{1-methyl-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9nyr,D,A1B7G,845.373,"N-{(1R,4S)-4-[(4-{3-chloro-4-[(3R)-2,6-dioxo-1,2,3,6-tetrahydropyridin-3-yl]phenyl}piperazin-1-yl)methyl]cyclohexyl}-4-({4-[(3S)-3-hydroxy-3-methylpiperidin-1-yl]-5-(trifluoromethyl)pyrimidin-2-yl}amino)-3-methylbenzene-1-sulfonamide"
CRBN,9ohr,A,A1CBG,499.561,"(3S)-3-[(5M)-5-{1-(oxetan-3-yl)-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohr,C,A1CBG,499.561,"(3S)-3-[(5M)-5-{1-(oxetan-3-yl)-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohr,E,A1CBG,499.561,"(3S)-3-[(5M)-5-{1-(oxetan-3-yl)-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9ohr,G,A1CBG,499.561,"(3S)-3-[(5M)-5-{1-(oxetan-3-yl)-4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9nfr,B,A1BYX,409.866,"(3R)-3-{2-chloro-4'-[(1-methyl-1H-pyrazol-3-yl)methoxy][1,1'-biphenyl]-3-yl}piperidine-2,6-dione"
CRBN,9oty,B,A1CEH,363.367,"N-{2-[(3R)-2,6-dioxopiperidin-3-yl]-1-oxo-2,3-dihydro-1H-isoindol-5-yl}benzamide"
CRBN,9oty,B,A1CEG,360.366,N-[3-(benzyloxy)pyridin-2-yl]-N'-(4-cyano-2-hydroxyphenyl)urea
CRBN,9ouk,B,A1CEK,363.367,"N-{2-[(3S)-2,6-dioxopiperidin-3-yl]-1-oxo-2,3-dihydro-1H-isoindol-5-yl}benzamide"
CRBN,9oul,C,A1CEG,360.366,N-[3-(benzyloxy)pyridin-2-yl]-N'-(4-cyano-2-hydroxyphenyl)urea
CRBN,9oul,C,A1CEK,363.367,"N-{2-[(3S)-2,6-dioxopiperidin-3-yl]-1-oxo-2,3-dihydro-1H-isoindol-5-yl}benzamide"
CRBN,9q03,C,A1CM7,715.244,"(3R)-3-(6-{4-[(5-chloro-4-{[3-(3-hydroxy-3-methylbutyl)-1-methyl-2-oxo-2,3-dihydro-1H-1,3-benzimidazol-5-yl]amino}pyrimidin-2-yl)(methyl)amino]piperidin-1-yl}-1-methyl-1H-indazol-3-yl)piperidine-2,6-dione"
CRBN,9sai,B,A1JM3,723.285,"N-[(2S)-1-[[(3S)-2,5-bis(oxidanylidene)pyrrolidin-3-yl]amino]-1-oxidanylidene-propan-2-yl]-9-[2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,7,10,12-pentaen-9-yl]ethanoylamino]nonanamide"
CRBN,9q22,B,A1CNP,433.5,"(3S)-3-[5-(1-benzyl-4-hydroxypiperidin-4-yl)-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9os2,B,A1CED,621.106,"(1S,3S)-2-[(2-chlorophenyl)methanesulfonyl]-N-{[(4R)-3-(2,4-dioxo-1,3-diazinan-1-yl)imidazo[1,2-a]pyridin-7-yl]methyl}-1-methyl-1,2,3,4-tetrahydroisoquinoline-3-carboxamide"
CRBN,9gao,A,A1IJM,276.288,"2-[4-[(3~{R})-2,6-bis(oxidanylidene)piperidin-3-yl]phenoxy]-~{N}-methyl-ethanamide"
CRBN,9gao,C,A1IJM,276.288,"2-[4-[(3~{R})-2,6-bis(oxidanylidene)piperidin-3-yl]phenoxy]-~{N}-methyl-ethanamide"
