SMILES,Warhead
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@H]4CCCC5=C4C=CC(=O)N5,['A2E']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCSc4c5ccccc5nc6c4CCCC6,['N8T']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCNc4c5ccccc5nc6c4CCCC6,['AA7']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCNC(=O)c4cccnc4,['TNH']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCNc4c5ccccc5nc6c4CCCC6,['F11']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N/O)O,['DQ5']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCn4cc(nn4)c5ccnc(c5)NC(=O)Nc6cccc7c6[C@@H]8CCCCN8C7=O,['FW8']
c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)NCCCCCCNc3c4ccc(cc4nc5c3CCCC5)Cl)N,['9A5']
c1ccc2c(c1)c(ccn2)NCCCCCCCCNc3c4ccccc4nc5c3CCCC5,['A8B']
c1ccc2c(c1)cc(o2)CNCCCCCCCNc3c4ccccc4nc5c3CCCC5,['HTB']
