Ligand,Name,Formula,Type,SMILES,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
KR8,,,,CN(c1ccccc1)c2nccc(n2)c3cnn4c3cccn4,CN(c1ccccc1)c1nccc(-c2cnn3ncccc23)n1,"InChI=1S/C17H14N6/c1-22(13-6-3-2-4-7-13)17-18-11-9-15(21-17)14-12-20-23-16(14)8-5-10-19-23/h2-12H,1H3",XYEFJKRTJUALOK-UHFFFAOYSA-N,302.341,2.9542,59.21000000000001,5,0,3,4,4,0.058823529411764705,23,0,0,0.5820999930310122,947.3898996032075,-3.28,13.387575877802021,5.490434179613943,2.3975778757740662,0,0,0,4,0,6,88.518,,True,True,True,True,True,None,None
4WD,,,,COc1ccc(cc1C#C)/C=C\2/C(=O)NC(=S)S2,C#Cc1cc(/C=C2\SC(=S)NC2=O)ccc1OC,"InChI=1S/C13H9NO2S2/c1-3-9-6-8(4-5-10(9)16-2)7-11-12(15)14-13(17)18-11/h1,4-7H,2H3,(H,14,15,17)/b11-7-",RTWZVEFITSUGJS-XFFZJAGNSA-N,275.354,2.1653,38.33,4,1,2,2,1,0.07692307692307693,18,0,0,0.5098395987002456,599.4990743640833,-1.77,12.680832662732099,5.25294526130362,2.5537631738491307,0,0,1,1,1,5,77.2377,,True,True,True,False,True,ene_rhod_A(235),Michael_acceptor_1; Thiocarbonyl_group; triple_bond
QS0,,,,Cn1cc(c2c1cncc2)c3ccnc(n3)Nc4ccc(cc4OC)N5CCN(CC5)C,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,"InChI=1S/C24H27N7O/c1-29-10-12-31(13-11-29)17-4-5-21(23(14-17)32-3)28-24-26-9-7-20(27-24)19-16-30(2)22-15-25-8-6-18(19)22/h4-9,14-16H,10-13H2,1-3H3,(H,26,27,28)",ZYVXTMKTGDARKR-UHFFFAOYSA-N,429.5280000000003,3.5343000000000018,71.33999999999999,7,1,5,5,4,0.2916666666666667,32,0,0,0.5203017496178385,1244.3203922322389,-3.65,20.26371900747476,8.469906245365515,3.8464021831658193,0,0,1,4,1,8,127.72670000000005,,True,True,True,True,True,None,None
2K2,,,,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)N(C)C(=O)c9ccccc9)OC,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"InChI=1S/C35H30N4O4/c1-35-32(42-3)25(37(2)34(41)19-11-5-4-6-12-19)17-26(43-35)38-23-15-9-7-13-20(23)28-29-22(18-36-33(29)40)27-21-14-8-10-16-24(21)39(35)31(27)30(28)38/h4-16,25-26,32H,17-18H2,1-3H3,(H,36,40)/t25-,26-,32-,35+/m1/s1",BMGQWWVMWDBQGC-IIFHNQTCSA-N,570.6490000000003,5.906800000000007,77.73,4,1,3,9,6,0.2571428571428571,43,4,0,0.28721839165619395,2180.823322545865,-4.659999999999999,24.8936556003002,8.46135367273348,2.968438278328138,0,2,3,6,1,8,165.1236999999997,,False,True,False,False,False,None,None
KQE,,,,c1cc(cc(c1)OC(F)(F)F)c2cnc3n2nc(cc3)c4ccncc4,FC(F)(F)Oc1cccc(-c2cnc3ccc(-c4ccncc4)nn23)c1,"InChI=1S/C18H11F3N4O/c19-18(20,21)26-14-3-1-2-13(10-14)16-11-23-17-5-4-15(24-25(16)17)12-6-8-22-9-7-12/h1-11H",SFBZOJORTROAIE-UHFFFAOYSA-N,356.307,4.356900000000003,52.31,4,0,3,4,4,0.05555555555555555,26,0,0,0.5473941430879472,1060.9201440474728,-3.4199999999999995,16.0703648948767,6.140697933723387,3.209650174820653,0,0,0,4,0,8,88.33699999999999,,True,True,True,True,True,None,None
4VZ,,,,CCOc1cc(ccc1O)/C=C\2/C(=O)NC(=S)S2,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1O,"InChI=1S/C12H11NO3S2/c1-2-16-9-5-7(3-4-8(9)14)6-10-11(15)13-12(17)18-10/h3-6,14H,2H2,1H3,(H,13,15,17)/b10-6-",BLHXTUCOFJOMCR-POHAHGRESA-N,281.358,2.279699999999999,58.56,5,2,3,2,1,0.16666666666666666,18,0,0,0.657322289930515,540.1241024531471,-1.5299999999999998,12.914821755112781,5.409528799265306,2.827865920510837,0,0,1,1,1,6,75.5845,,True,True,True,False,True,ene_rhod_A(235),Michael_acceptor_1; Thiocarbonyl_group
RKH,,,,Cc1cc2cc(ccc2o1)c3cc(nc(c3)N)N,Cc1cc2cc(-c3cc(N)nc(N)c3)ccc2o1,"InChI=1S/C14H13N3O/c1-8-4-11-5-9(2-3-12(11)18-8)10-6-13(15)17-14(16)7-10/h2-7H,1H3,(H4,15,16,17)",BMBIGEJCNXQYPN-UHFFFAOYSA-N,239.27799999999996,2.96762,78.07,4,2,1,3,3,0.07142857142857142,18,0,0,0.6839083802667522,710.7323504876931,-2.49,10.650606281602649,3.768414403025925,1.7753339156184265,0,0,0,3,0,4,73.00680000000001,,True,True,True,False,True,None,None
B6Q,,,,CCC(=O)Nc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)N4CCN(CC4)C)N,CCC(=O)Nc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3)nc2N)c1,"InChI=1S/C24H28N6O2S/c1-3-20(31)26-18-6-4-5-16(15-18)21(32)22-23(25)28-24(33-22)27-17-7-9-19(10-8-17)30-13-11-29(2)12-14-30/h4-10,15H,3,11-14,25H2,1-2H3,(H,26,31)(H,27,28)",FUGOPQDNOXXECF-UHFFFAOYSA-N,464.59500000000025,3.800200000000002,103.58999999999999,8,3,7,4,3,0.2916666666666667,33,0,0,0.4570378499005242,1136.111140918325,-3.4299999999999997,22.7528753807604,10.01316324927612,5.49766410476839,0,0,1,3,1,9,134.7563,,True,True,True,True,True,anil_di_alk_A(478),None
RJ2,,,,c1cc2c(cco2)cc1c3ccnc(c3)N4CCNCC4,c1cc(-c2ccc3occc3c2)cc(N2CCNCC2)n1,"InChI=1S/C17H17N3O/c1-2-16-15(4-10-21-16)11-13(1)14-3-5-19-17(12-14)20-8-6-18-7-9-20/h1-5,10-12,18H,6-9H2",BRUNUGURQIJSRJ-UHFFFAOYSA-N,279.3430000000001,2.9044000000000008,41.300000000000004,4,1,2,4,3,0.23529411764705882,21,0,0,0.782879151608235,759.3260258443962,-2.3299999999999996,12.413652799288913,5.2201165206274105,2.3830286117828967,0,0,1,3,1,4,84.52770000000005,,True,True,True,True,True,None,None
2C3,,,,COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)N[C@H](CCN)c4cccc(c4)Cl,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,"InChI=1S/C25H22Cl2N6O4/c1-37-25-29-12-15-10-17(24(36)32-21(15)33-25)23(35)31-20-11-14(5-6-18(20)27)22(34)30-19(7-8-28)13-3-2-4-16(26)9-13/h2-6,9-12,19H,7-8,28H2,1H3,(H,30,34)(H,31,35)(H,29,32,33,36)/t19-/m1/s1",KUFCYNGJQRKYSQ-LJQANCHMSA-N,541.3950000000003,3.705700000000001,152.09,7,4,8,4,4,0.16,37,1,0,0.26545457363634856,1541.6486470445398,-3.9899999999999993,26.083786085370313,11.379298739785778,6.053319683785843,0,0,0,4,0,12,141.4464999999999,,True,False,False,False,False,None,None
